name,icon_url,description,link
Twitter,https://i.gyazo.com/thumb/1000/27efa615afe6bbdfabc1bffc9daaf15b-png.png,SNS,https://twitter.com/kanatakita
GitHub,https://simpleicons.org/icons/github.svg,Git Repository,https://github.com/ShotaKitazawa/
Docker Hub,https://www.docker.com/sites/default/files/d8/styles/role_icon/public/2019-07/Moby-logo.png,Docker Repository,https://hub.docker.com/u/kanatakita
zenn.dev,https://simpleicons.org/icons/zenn.svg,技術ブログ,https://zenn.dev/kanatakita
はてなブログ,https://hatenacorp.jp/images/company/resource/hatena-blog-logo-s.png,イベント参加記など,https://kanatakita.hatenablog.com/
Speaker Deck,https://speakerd.herokuapp.com/assets/mark-f4be6df1e05965cac9f98e664a6c35f5ffdd0207385d07464a9214d6cdf76082.svg,発表資料,https://speakerdeck.com/shotakitazawa
